Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
L5,4.85722573273506E-16,-0.0183390437380094,0.0599869380999931,0,0,0,0.0272654512429999,6.43959167351525E-05,6.5837365657827E-20,-1.38536606830353E-19,5.72644987666864E-05,2.44798091780557E-05,3.47198773427011E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L5.STL,,L5-1,Origin_JL44,Axis_JL44,JL4,continuous,0,0.078904,0.12697,-1.0472,0,0,L4,1,0,0,,,,,,,,,,,,
L6,2.33682225148149E-05,-0.0229940897785377,-0.0125097987045415,0,0,0,0.15544328108956,5.58260684034126E-05,7.75063095128782E-08,8.85901171526323E-07,5.58181471321927E-05,-2.72667897496436E-06,3.49643577336778E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L6.STL,,L6-1,Origin_JL54,Axis_JL54,JL5,continuous,0,-0.065506,0.14048,0.5236,0,0,L5,1,0,0,,,,,,,,,,,,
L7,0.0103682525737677,0.0119651140515537,0.0282170014639998,0,0,0,0.0293701270577349,5.27259611745444E-05,3.96875464577063E-15,-9.79294087641099E-17,2.54946722965885E-05,4.84992874343962E-06,7.58096786665151E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/L7.STL,,L7-1,Origin_JL64,Axis_JL64,JL6,continuous,0,0,0,0,0,0,L6,0,0.99619,-0.087156,,,,,,,,,,,,
AR2,-0.0122215328030043,-0.00304504079535874,0.00046755664416805,0,0,0,0.00782111452958767,3.46730290731849E-06,-3.56887654541805E-07,5.47990011683571E-08,3.44521472170541E-06,-2.06144819144966E-07,2.13431503339268E-06,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AR2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AR2.STL,,AR2-1,Origin_JAR14,Axis_JAR14,JAR1,continuous,-0.0665,0,-0.0001,1.7262,0,0,body,1,0,0,,,,,,,,,,,,
AR3,-0.0217424355782832,-0.0598709237463328,0.0138089346841776,0,0,0,0.097623535640491,2.66927650742415E-05,-1.51414262049176E-06,-2.59340162798032E-07,2.29946667509428E-05,-4.51570937003064E-07,2.16812046230082E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AR3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AR3.STL,,AR3-1,Origin_JAR24,Axis_JAR24,JAR2,continuous,-0.035,-0.019768322112152,0.00303536503079964,0.00863677948697105,0.0507435699806214,0.337108707096089,AR2,0,0.151768251539982,0.988416105607601,,,,,,,,,,,,
AR4,-0.0264395498118501,-0.0719680840946816,0.0249388613374165,0,0,0,0.0261806235165505,1.29434109350166E-05,-2.0730856844392E-06,1.53907500063378E-06,8.49936634440967E-06,4.30753226979961E-06,1.32076307428004E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AR4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AR4.STL,,AR4-1,Origin_JAR34,Axis_JAR34,JAR3,continuous,-0.0391688936407426,-0.105994321647765,0.0375212146577176,-0.401595058674256,0.131487536773221,-0.0485277151924821,AR3,0.942500202763317,-0.330334175028508,0.0507217960973566,,,,,,,,,,,,
AL2,0.0122215328030043,-0.00306297937268113,-0.000330212088565167,0,0,0,0.00782111452958769,3.46730290731849E-06,3.58990108077455E-07,3.87018190261986E-08,3.46107948276651E-06,1.46447551999455E-07,2.11845027233158E-06,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AL2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AL2.STL,,AL2-1,Origin_JAL14,Axis_JAL14,JAL1,continuous,0.0665,0,-0.0001,1.4665,0,0,body,1,0,0,,,,,,,,,,,,
AL3,0.00729277157235911,-0.0647229266668686,-0.00238871067636881,0,0,0,0.097623535640491,2.71510597381538E-05,5.4954535768441E-07,-2.77333925095466E-07,2.27195249459817E-05,-2.99771975663198E-07,2.14980517640569E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AL3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AL3.STL,,AL3-1,Origin_JAL24,Axis_JAL24,JAL2,continuous,0.035,-0.0198847788687522,-0.00214372790736723,-0.000675234731490389,0.0120468245174906,-0.111983173268338,AL2,0,0.107186395368361,-0.994238943437611,,,,,,,,,,,,
AL4,0.00913578295485759,-0.0801031112896214,-0.000656322210190963,0,0,0,0.0261806235165505,1.36552226908737E-05,8.94157570011036E-07,-2.43003115857642E-07,5.58775082486857E-06,1.98253938483778E-06,1.54074345064843E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AL4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/AL4.STL,,AL4-1,Origin_JAL34,Axis_JAL34,JAL3,continuous,0.0131719485348661,-0.118037455358604,0.00839636256129469,-0.491746944547984,-0.0544973559727831,0.00759729409276157,AL3,0.993664326490195,0.111741162067576,0.0120465331350887,,,,,,,,,,,,
H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/H2.STL,1,1,1,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/H2.STL,,H2-1,Origin_JH14,Axis_JH14,JH1,continuous,0,-6.32106971754079E-05,0.0204999025462992,1.57335367827389,0.00172268556231549,-0.592800435653726,body,0,1,0,,,,,,,,,,,,
H3,0.036913632495691,-0.0261315077775538,0.0562881107039803,0,0,0,0.070189548920754,2.26120241044407E-05,-3.16435657178402E-07,1.97667380621252E-05,5.32373444792001E-05,2.57216251711595E-08,3.82682129648946E-05,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/H3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assemandframe01.SLDASM/meshes/H3.STL,,H3-1,Origin_JH24,Axis_JH24,JH2,continuous,0,0.01,0,-0.995509566645158,0.333454125428357,0.600667945155879,H2,0.829378138941034,0,-0.558687661083281,,,,,,,,,,,,
